title,genre,episode_range,description,disclaimer
Akagami no Shirayuki-hime,"Drama, Romance",Medium,"Akagami no Shirayuki-hime (also known as Snow White with the Red Hair) is a Japanese anime based on the manga by Sorata Akizuki. It follows the story of Shirayuki, a young woman with unique red hair who catches the eye of a prince. Seeking to escape his unwanted advances, she flees her kingdom and eventually meets Zen, a kind prince who helps her. Shirayuki becomes involved in the world of royalty and political intrigue, navigating her newfound life while building relationships with Zen and his friends.

The anime has two seasons:
Season 1: 12 episodes
Season 2: 12 episodes
In total, there are 24 episodes of Akagami no Shirayuki-hime.",Contains romantic themes suitable for a young adult audience. Generally family-friendly with some mature undertones.
Angel Beats!,"Drama, Fantasy",Short,"Angel Beats! is a Japanese anime series set in the afterlife, where a group of high school students find themselves in a strange world resembling a school. These students have all died and are now in limbo, unable to remember their past lives. The main character, Otonashi, arrives without any memories and meets a girl named Yuri, who leads a group of students in a resistance against an enigmatic figure known as ""Angel."" As the series progresses, Otonashi learns more about the mysterious nature of this afterlife and the students' unresolved issues, leading them to discover peace and move on to the next stage.

Angel Beats! has 13 episodes, which aired in 2010, plus an additional OVA episode.","Features themes of life, death, and the afterlife. Contains some emotional and dramatic moments that may be intense for sensitive viewers."
Attack on Titan,"Action, Drama, Suspense",Long,"Attack on Titan (Shingeki no Kyojin) is a Japanese anime based on the manga by Hajime Isayama. The story is set in a world where humanity is on the brink of extinction due to giant humanoid creatures known as Titans that devour humans. The remaining survivors live within massive walled cities to protect themselves. The protagonist, Eren Yeager, joins the military after his hometown is destroyed and his mother is killed by a Titan. Along with his friends Mikasa and Armin, Eren discovers shocking secrets about the Titans and the true nature of their world, leading them into a battle for humanity's survival.

The anime has been divided into multiple seasons:
Season 1: 25 episodes (2013)
Season 2: 12 episodes (2017)
Season 3:
Part 1: 12 episodes (2018)
Part 2: 10 episodes (2018)
Season 4 (Final Season):
Part 1: 16 episodes (2020-2021)
Part 2: 12 episodes (2022)
Part 3: Scheduled in two parts, with the first part released in 2023 and the final part set for 2024.
As of now, there are a total of 88 episodes aired, with the final season still ongoing.","Contains graphic violence, intense action scenes, and mature themes of war and survival. Viewer discretion is advised."
Black Clover,"Adventure, Fantasy",Very Long,"Black Clover is a Japanese anime based on the manga by Y?ki Tabata. The story follows Asta, a boy born without any magical power in a world where magic is everything. Despite this, he dreams of becoming the Wizard King, the most powerful mage in the Clover Kingdom. With his determination and the help of his rival and friend Yuno, who is highly gifted in magic, Asta embarks on a journey to achieve his dream. Along the way, he joins the Black Bulls, a group of misfit mages, and faces numerous challenges and enemies while uncovering secrets about the magical world.

Black Clover has 170 episodes, which aired from October 2017 to March 2021. The anime is currently on a hiatus after airing its final episode in 2021, but there is a planned movie continuation, Black Clover: Sword of the Wizard King, released in 2023.",Features action and battle sequences with some violence. Suitable for younger audiences with strong themes of perseverance and rivalry.
Bleach,"Action, Adventure, Supernatural",Very Long,"Bleach is a Japanese anime series based on Tite Kubo's manga of the same name. It follows Ichigo Kurosaki, a teenager with the ability to see ghosts. His life changes when he accidentally gains the powers of a Soul Reaper, a guardian who protects the living from evil spirits called Hollows. Ichigo is tasked with protecting the living world and guiding lost souls to the afterlife, while uncovering the mysteries surrounding the spiritual realms.

The series includes various story arcs involving intense battles, soul reapers, and other supernatural beings.

Total Number of Episodes:
Bleach (Original Series): 366 episodes (aired from 2004 to 2012).
Bleach: Thousand-Year Blood War (2022-ongoing): The new arc started in 2022 and is still being aired, with more episodes expected in the future.
So far, there are 366 episodes in the original series, with additional episodes for the ongoing arc.","Includes battles and violent themes. While generally accessible to a wide audience, it may include some intense moments."
Bungo Stray Dogs,"Action, Mystery",Short,"Bungo Stray Dogs is a Japanese anime based on the manga by Kafka Asagiri and Sango Harukawa. The story follows Atsushi Nakajima, a young man who is kicked out of his orphanage and finds himself in a city filled with individuals who possess supernatural abilities. He encounters the Armed Detective Agency, a group of people with unique powers who work together to solve mysteries and fight dangerous criminal organizations. Atsushi eventually joins the agency and begins to uncover the secrets surrounding his own abilities, as well as the dark underworld of the city. The series blends action, supernatural elements, and literary references, as many characters are named after famous authors and their powers are inspired by their works.

Bungo Stray Dogs has 4 seasons:
Season 1 – 12 episodes, aired from April to June 2016.
Season 2 – 12 episodes, aired from October to December 2016.
Season 3 – 12 episodes, aired from April to June 2019.
Season 4 – 13 episodes, aired from January to March 2023.
In total, Bungo Stray Dogs has 49 episodes across all seasons.",Contains themes of supernatural powers and gang violence. Includes complex characters and occasional violence.
Charlotte,"Comedy, Supernatural",Short,"Charlotte is a Japanese anime series created by Jun Maeda and produced by P.A. Works. The story follows Yuu Otosaka, a teenage boy with the ability to temporarily possess anyone's body for five seconds. However, his life changes when he is caught using his power and is sent to a special school for students with supernatural abilities. At this school, Yuu meets other students who have unique powers and begins to unravel a larger conspiracy surrounding their abilities.

The anime combines drama, romance, and supernatural elements, exploring themes of responsibility, sacrifice, and the consequences of using powers for personal gain.

Total Number of Episodes:
Charlotte: 13 episodes (aired in 2015)
Thus, Charlotte has a total of 13 episodes.","Deals with themes of superpowers, loss, and existential questions. Includes emotional and dramatic moments that may be intense for younger viewers."
Clannad,"Drama, Romance",Long,"Clannad is a Japanese anime series based on a visual novel by Key. The story follows Tomoya Okazaki, a high school delinquent who meets a strange girl named Nagisa Furukawa. Together, they form a group with other students and become involved in various personal struggles and emotional experiences. As Tomoya helps his friends face their challenges, he uncovers deeper, heartfelt connections and learns about love, family, and the impact of the past. The anime combines drama, romance, and supernatural elements.

The series explores themes of family, friendship, and the consequences of past actions, with a particularly emotional and heartwarming conclusion.

Total Number of Episodes:
Clannad (2007): 23 episodes + 1 OVA (Original Video Animation)
Clannad: After Story (2008-2009): 24 episodes + 1 OVA
Thus, Clannad has a total of 47 episodes (including both the original series and its sequel).","Contains emotional and dramatic themes centered around family, love, and loss. Viewer discretion is advised for sensitive viewers."
Code Geass: Lelouch of the Rebellion,"Action, Drama, Sci-Fi",Long,"Code Geass: Lelouch of the Rebellion is a Japanese anime series created by Sunrise, with direction by Gor? Taniguchi and writing by Ichir? ?kouchi. The story is set in an alternate future where the Holy Britannian Empire has conquered Japan, renaming it Area 11. The protagonist, Lelouch vi Britannia, a former prince of Britannia, gains a mysterious power called Geass, which allows him to control people's actions with direct eye contact.

Lelouch, using the alias Zero, leads a resistance group called the Black Knights to overthrow the tyrannical empire. The series follows Lelouch’s strategic genius as he fights to bring down Britannia, while dealing with his own moral dilemmas, complex relationships, and the personal consequences of his actions.

Total Number of Episodes:
Code Geass: Lelouch of the Rebellion (Season 1): 25 episodes (aired in 2006-2007)
Code Geass: Lelouch of the Rebellion R2 (Season 2): 25 episodes (aired in 2008)
Thus, Code Geass: Lelouch of the Rebellion has a total of 50 episodes across both seasons.","Contains political intrigue, violence, and mature themes surrounding rebellion and war. Viewer discretion is recommended."
Cowboy Bebop,"Action, Sci-Fi",Medium,"Cowboy Bebop is a Japanese anime set in a futuristic world where bounty hunters, known as cowboys, travel across space in pursuit of criminals. The story follows Spike Spiegel, a former hitman with a troubled past, and his ragtag crew aboard the spaceship Bebop. The crew includes Jet Black, a former cop; Faye Valentine, a mysterious and resourceful woman with amnesia; Edward, a quirky and genius hacker; and Ein, a genetically enhanced dog.

The series blends action, drama, and comedy as the crew takes on various bounty hunting missions, but it also delves deeply into the characters' pasts, exploring themes of loneliness, regret, and the search for meaning. Each episode often functions as a self-contained story, while also building on the overarching narratives of the characters’ complex relationships and personal struggles.

Cowboy Bebop is renowned for its stylish animation, memorable music (especially its jazz soundtrack), and philosophical undertones, making it a beloved classic in the anime world.

Total Number of Episodes:
Cowboy Bebop has a total of 26 episodes.","Contains mature themes, including violence, existentialism, and dark humor. Suitable for adult viewers."
